Year,CrimeType,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Inner London,Outer London
1999-00,All recorded offences,120.4538179311,97.9618399268,95.0988236809,127.7404088093,89.772195509,241.0488255449,113.661139653,128.1612694043,104.8212341098,141.3549639908,195.9294177922,178.044498674,155.9075581422,80.6939574525,83.2343871837,107.2461875594,144.807697692,218.6868658126,208.4196698222,100.33355479,195.6846827601,118.3652271184,90.8452302472,159.3858230395,103.2090636522,89.7315692607,176.4513643168,80.7972125436,176.0711498809,122.2987736195,134.4599197638,463.0006394234,195.5163673749,107.1242343062
2000-01,All recorded offences,123.574527283,95.6761583867,96.343676989,122.7160354036,88.5218256992,238.4515787005,105.3760609859,126.7273384368,101.8620850117,131.3433253435,188.0313303603,171.7591381628,149.1914758125,81.4436144878,87.7716630911,108.7344608415,135.2110314766,202.2355666509,198.5891724481,96.8247719374,188.6841364599,110.3266086487,88.0411910986,157.970855078,105.1661747294,84.91209808,160.0428923023,77.2252541762,177.9001993578,116.4548839563,129.8343263789,424.3681226397,186.7873533529,104.515291093
2001-02,All recorded offences,123.9813104422,101.0200919617,96.9111845564,123.4181440546,96.6787973722,262.1503008881,111.753682351,127.3382887046,106.0389661913,133.3348661823,191.8927265182,174.0940167912,170.2184396907,86.7294471635,97.3135098813,118.3717673116,138.5755824721,209.6640224765,182.5227035925,92.6632896105,208.8436269991,114.0538500252,92.8646928929,162.8476691084,115.7577937352,92.1169633586,178.0477733803,84.640776806,185.3548162514,136.297097043,131.4371720235,424.2877307221,195.4689398907,110.0649603812
2002-03,All recorded offences,122.5917755189,107.1214654721,90.1411535987,124.2704847872,102.053473917,264.2029298139,115.1349820372,129.8238919681,107.0081390586,140.8820820315,186.1339299681,174.4472030188,173.8152302717,92.1793760832,95.6970327121,118.2451439511,151.423776327,218.8842869674,194.8457824412,95.7618850323,198.4610369871,113.3910479299,93.8282229837,161.2217077585,117.6429650432,95.8384870127,179.3427999485,82.6800540645,198.6369191087,144.1798941799,131.6906557252,413.9884670831,196.1553455419,112.90959724
2003-04,All recorded offences,133.2290475904,112.764992138,92.4660024725,133.5591805399,104.0124069395,249.7674464148,110.2736076256,123.0964467005,106.4381641741,139.7529235008,183.776276453,167.0456533147,163.567038622,86.2310974697,98.4026495241,118.3169793674,140.4909052278,225.6286657195,180.7548950795,108.9569289766,183.460386855,125.337387273,98.9867827447,158.5136443112,114.9418783244,87.1758982289,181.3024502237,89.1171586665,187.8160181355,137.92918814,121.2557978239,375.7943973954,188.5944863024,113.0280896053
2004-05,All recorded offences,129.4728579192,117.0352430936,85.3669025018,132.6029030876,103.465441446,219.1172995211,103.8281514175,117.4497618303,99.6786161004,137.2683656851,170.8578946629,157.7087800654,156.9862941114,83.7252100413,94.9244581851,111.785307872,127.178271965,209.8976392322,161.7597374391,103.8694515243,166.9352662782,137.9770652195,91.478391598,143.2984585393,105.2079397365,85.437672883,170.1450300672,93.5536240847,172.0497835703,131.0699460449,113.5653141432,369.7758637565,177.4882095207,108.7962809217
2005-06,All recorded offences,132.6838069463,106.4630076845,89.9811593095,129.697090489,102.8418180422,200.0871674373,102.8131378078,119.2394508495,96.4712987966,136.0295712687,159.9449453148,149.233663412,154.2584975858,79.0605538445,95.9161196528,112.862426918,121.6975904476,201.9326673098,146.8804751299,99.292407977,151.1706649377,130.9653630408,90.7688513666,153.7443163461,98.1038320878,82.0404610265,158.2515631505,88.2852012323,158.1951617287,132.9367091957,106.3803494699,320.8056217844,166.0946998493,106.7415964319
2006-07,All recorded offences,127.9276368923,90.4471268225,76.1241490505,110.2117871713,94.443503022,201.0832480382,92.5542445418,116.4942012945,94.1380306093,127.4798068294,141.5122188262,145.0350651209,131.2110269584,70.8172354583,87.6300405788,110.6345843145,107.3310363571,190.2387159103,147.2238191776,85.2818106685,138.5549899474,124.6239960306,83.5134012051,137.976076963,96.427872765,73.4604426912,148.4304044432,84.2510471233,149.391025641,125.3711031461,104.4696700958,297.3894780302,155.3218248168,98.1661858162
2007-08,All recorded offences,115.5764327254,79.5760325173,74.8402893712,99.2893780911,83.2548533664,167.3506051437,88.9082025062,106.577002614,86.6965774146,129.4396178155,143.6252672844,131.5732807471,124.5264851579,62.176669391,74.8512766059,102.7274389935,101.1890993515,160.2451281834,144.1832480983,79.4640256336,125.8229109642,118.8990305833,77.3447956347,133.1205287568,86.7193660685,66.1820733359,146.8275219532,72.4315049898,137.1447851508,109.2695139287,93.6693659072,289.7937167696,144.70608731,89.8747916715
2008-09,All recorded offences,115.8989168,77.7507871184,71.3472636465,93.547289284,86.4025078041,162.5268103846,93.8684484753,101.0641252754,82.4796683734,119.6130937484,128.6048796534,129.4723527286,111.9983310085,65.5451349715,77.7417782245,97.3756085976,99.8205181016,152.9655524262,135.1896616414,72.3977260346,121.6978064927,118.3941945458,77.3311412802,121.235686022,91.9563612254,64.9712726935,141.7683312092,74.4162272678,119.494766983,108.3858602715,85.2448989993,289.6150873679,136.8047304991,88.7095053353
2009-10,All recorded offences,111.7411870706,75.9710724086,67.7241766237,97.4312185108,77.4817218595,158.6152805696,94.1425262854,101.9923264821,80.9978441638,105.1495452904,121.3792462239,126.9570721091,103.0523808571,65.9200411144,73.2636560499,90.9604200779,95.0913439018,144.542053034,128.9926062276,70.0032420681,120.5849345349,109.2863640734,74.8980498244,119.5997863479,88.8716327398,62.5237263685,131.7871371656,69.2629419611,112.2268654234,109.8815184976,85.0818615186,295.0594524841,131.8335001386,85.8751537217
2010-11,All recorded offences,104.8851989193,73.130964779,59.5506932916,96.7632921568,71.3994036816,159.2967749447,90.2134649715,104.8573216034,76.8963230705,96.8411251711,115.8935877124,133.5475166167,97.2849783574,63.0572202265,74.4219714351,87.3397287217,95.712497392,140.2895132639,131.9992770919,70.2813776411,119.8454560726,105.949912852,73.9243532058,114.8540466823,89.1314779271,62.9830814153,127.7481966474,65.5394805648,115.2905198777,108.4174182805,81.6965170841,294.6585200772,129.8180049996,83.4204036938
2011-12,All recorded offences,100.6528399339,73.5054735441,52.2738793852,101.1769603997,70.5287969242,162.6584032678,89.8400559188,96.0025227371,73.0342268304,87.7357788972,112.8803877305,128.4003398284,101.3970415591,58.9150058836,72.7197837992,86.8859778075,97.1572254018,131.0080713576,131.2219196087,70.0092248623,121.4952657144,98.1158237584,70.5933390844,103.1082909231,86.2026688463,64.0547761122,119.4075859752,61.4054823334,115.0414824305,95.7719583279,79.2694420071,302.0056288767,127.0058763964,80.5729246943
2012-13,All recorded offences,90.470193115,69.6897427162,52.6526970901,86.6331913812,64.4766842018,145.980209991,84.3322869396,88.0703083033,70.9799014772,81.1710783334,110.2812560735,121.1120378093,90.2893647262,55.5456994682,68.6513746543,73.2406763299,86.8898908327,132.032201358,133.6433014814,62.2185887033,112.5467440361,87.822671156,66.1441463716,100.9793558411,78.7690123921,62.4018610061,111.5627022792,57.7803026391,110.576685437,93.2260841084,82.5300345105,277.023827605,120.2904016996,74.3953997709
2013-14,All recorded offences,82.8599654236,61.5679729495,50.0111962212,77.1471077714,61.1672260687,124.700177173,75.658883118,75.5808860885,70.6062572537,74.3538074604,101.1387875468,106.2484260011,83.8085547447,50.2769422941,62.4876074025,67.1813002517,74.9522688038,114.0786490284,115.525020245,55.6857901711,104.7695724951,78.0173317492,57.0604705176,90.9727961487,69.5315535328,54.963028767,104.5184678889,53.0896209561,99.450327971,83.1348736065,71.62593876,238.2902561706,107.0752926602,67.1465236739
2014-15,All recorded offences,81.8733799308,61.8593547871,51.1954641152,78.254281991,63.6022385598,121.0495388467,76.5982342304,75.8247154491,68.7300892863,78.2460789495,97.6857305719,113.5817004457,89.0480337593,50.0628020698,62.4374933936,75.2297652807,78.4168273286,118.6354793467,120.5967091363,57.5083255863,103.7817080222,75.7331305471,59.769550156,89.3741405147,68.6833529542,55.7274582225,99.5907952059,55.3867584564,96.2906888721,77.5389896276,72.3477870861,206.9466591225,104.7618206208,68.1399345211
2015-16,All recorded offences,86.5287975483,65.7850725985,52.2172939845,80.6389886794,65.0655519198,125.2183075513,76.3816152241,78.7969416339,69.8529075945,79.8754016514,101.1453148408,114.3414525389,95.3735194089,53.3079755594,67.6516048738,73.7971686231,81.5790452804,123.60557244,124.6774162868,58.5218268261,107.8750181086,83.1144370638,63.2219587906,90.3920172347,66.1639593926,55.0968006984,101.7219109035,54.7053386295,97.3864975816,80.3886860641,74.0500534107,203.0714117681,107.775561353,69.8554594643
2016-17,All recorded offences,70.8999321903,55.8144233235,45.6079424743,70.7896933472,52.7487924035,103.1354978654,67.4253996819,69.0101283232,58.5434300457,71.5705267974,91.1540402009,98.1275117726,85.8104298422,45.4629510516,58.073525514,63.4606292835,71.3250399242,99.8604341571,109.783954162,49.6232404163,90.8389497118,68.4208608427,53.5192582513,77.1486723484,56.6852353725,49.9371955516,87.8894589478,45.0103847295,85.3031287108,64.8883604079,65.8312664507,171.2907993894,92.3145534612,59.8442991656
1999-00,Violence Against the Person,19.7606559799,13.5388188306,14.4901544206,20.7708294118,10.9324453547,28.1153455472,17.707323243,22.00812567,14.8131308872,29.3823762302,33.4275969802,29.1532303248,22.3006144794,11.2645436225,11.7893598923,15.1518242992,24.2652754575,29.9060421018,22.3052858246,16.5887002322,30.8938336013,20.1789780672,15.7082491273,30.1849765297,15.2054690978,12.0440786656,30.1751441379,11.7797909408,27.8284506504,20.6507823774,20.0703958822,48.0730105214,28.3275336312,16.7303476838
